original	translation	z_mean	pred_zscore
The Sultan appoints judges, and can grant pardons and commute sentences.	Der Sultan ernennt Richter und kann Begnadigungen und Pendelstrafen gewähren.	0.34937093	-0.13033627763165925
Antisemitism in modern Ukraine Antisemitism and Special Relativity	Antisemitismus in der modernen Ukraine Antisemitismus und besondere Relativität	0.39243457	-0.19674049582721032
Morales continued his feud with Buddy Rose, defeating him by disqualification.	Morales setzte seine Fehde mit Buddy Rose fort und besiegte ihn durch Disqualifikation.	0.64503396	-0.07725306947954788
American Maury Tripp attended the Jamboree from Saratoga, California.	Der Amerikaner Maury Tripp besuchte das Jamboree aus Saratoga, Kalifornien.	0.5445189	-0.05875836507736117
He bowled a series of bouncers at Viv Richards at Brisbane and claimed 3/77 and 5/92 in the Third Test at Melbourne.	Er boomte eine Reihe von Bouncern bei Viv Richards in Brisbane und behauptete 3 / 77 und 5 / 92 im dritten Test in Melbourne.	-0.58953077	-0.3894226596123059
The Frenchwoman's win irritated some of her male rivals.	Der Sieg der Französin irritierte einige ihrer männlichen Rivalen.	0.54521155	-0.06032035156037192
Good or bad, the theories of educators such as Rousseau's near contemporaries Pestalozzi, Mme.	Gut oder schlecht, die Theorien der Pädagogen wie Rousseaus nahe Zeitgenossen Pestalozzi, Mme.	0.4825521	-0.27527053747806146
Alfred Stieglitz enrolled in the Real Gymnasium in Karlsruhe.	Alfred Stieglitz hat sich am Real Gymnasium Karlsruhe eingeschrieben.	0.52760255	-0.04847816247922468
Superman battles the Phantom Zone villains in Washington.	Superman kämpft gegen die Schurken der Phantom Zone in Washington.	0.5721171	-0.09462304192686728
However, Berke remained neutral militarily, and after the defeat of Ariq Böke, freely acceded to Kublai's enthronement.	Berke blieb jedoch militärisch neutral und trat nach der Niederlage von Ariq Böke Kublais Inthronisierung frei bei.	0.14432092	-0.1507550472249622
Meanwhile, Poivre had finally obtained seedlings of nutmeg and clove, and 10,000 nutmeg seeds.	Inzwischen hatte Poivre schließlich Sämlinge von Muskatnuss und Nelke und 10.000 Muskatensamen erhalten.	0.29363942	-0.09616251198068791
The Barnstormers currently play in the Indoor Football League.	Die Barnstormers spielen derzeit in der Indoor Football League.	0.30816433	-0.06984516427600147
Terminally, it bears four lobes, two inner glossae, and two outer paraglossae, which are collectively known as the ligula.	Schließlich trägt er vier Lappen, zwei innere Glossae und zwei äußere Gleitschirme, die kollektiv als Ligula bekannt sind.	-0.48365873	-0.23667628834157353
None of James's biographers accepted them as plausible.	Keiner von James 's Biographen akzeptierte sie als plausibel.	0.607984	-0.0735044471876072
The original soundtrack cracked the top 20 of the U.S.	Der originale Soundtrack knackte die Top 20 der USA	0.6060628	-0.0884720619076269
Through their property in east Orlando flowed the Econlockhatchee River, which travelers crossed by fording.	Durch ihr Eigentum im Osten Orlando floss die Econlockhatchee River, die Reisende durch Fording überquert.	-0.5930537	-0.3463570834405173
Surrey batted first and reached 174/2 at lunchtime.	Surrey schlug zuerst und erreichte 174 / 2 zur Mittagszeit.	0.5429826	-0.12138309168288833
Within the pods, the hippos tend to segregate by gender.	Innerhalb der Hülsen neigen die Flusspferde dazu, sich nach Geschlecht zu trennen.	0.40367663	-0.11634703807677116
Next, at The Manchester Trophy in Manchester, UK he partnered Lovro Zovko to the final.	Als nächstes, bei der Manchester Trophy in Manchester, Großbritannien er Partner Lovro Zovko bis zum Finale.	-1.4098105	-0.4756340721308994
"On Day 35, HouseGuests competed in the ""A Lotta Pinata"" Power of Veto competition."	"Am Tag 35, HouseGuest konkurrierte in der ""A Lotta Pinata"" Power of Veto Wettbewerb."	-0.8245439	-0.32671077263572024
The highway headed northeast through Keene, where it intersected Route 10 and Route 12.	Die Autobahn führte nordöstlich durch Keene, wo sie die Route 10 und die Route 12 durchkreuzte.	0.6963205	-0.13180166137008018
With the fall of Terry Alderman's wicket, Australia ware all out for 528, a first innings lead of 242, with Steve Waugh once again not out on 152.	Mit dem Fall von Terry Alderman 's wicket, Australien ware all out for 528, eine erste Innings Führung von 242, mit Steve Waugh wieder nicht heraus auf 152.	-0.6699612	-0.6731165933520415
